PERSON_ID,FIRST_NAME,LAST_NAME,TEAM,DESCRIPTION,ALL_NBA_TEAM_NUMBER,SEASON,MONTH,WEEK,CONFERENCE,TYPE,SUBTYPE1,SUBTYPE2,SUBTYPE3
1717,Dirk,Nowitzki,Dallas Mavericks,NBA Player of the Week,,2010-11,,2010-12-13T00:00:00,West,Award,Kia Motors,KIPWK,
1717,Dirk,Nowitzki,Dallas Mavericks,NBA Player of the Week,,2013-14,,2014-04-07T00:00:00,West,Award,Kia Motors,KIPWK,
1717,Dirk,Nowitzki,Dallas Mavericks,NBA Sporting News Most Valuable Player of the Year,,2006-07,,,,Award,Sporting News,SNMVP,
1717,Dirk,Nowitzki,Germany,Olympic Appearance,,2008,,,,Award,Olympic,Appearance,
1122,Domininque,Wilkins,,Hall of Fame Inductee,,2006,,,,Award,Hall of Fame,,
1122,Dominique,Wilkins,Atlanta Hawks,All-NBA,1,1985-86,,,1610612737,Award,Kia Motors,KIANT,
1122,Dominique,Wilkins,Atlanta Hawks,All-NBA,2,1986-87,,,1610612737,Award,Kia Motors,KIANT,
1122,Dominique,Wilkins,Atlanta Hawks,All-NBA,2,1987-88,,,1610612737,Award,Kia Motors,KIANT,
1122,Dominique,Wilkins,Atlanta Hawks,All-NBA,3,1988-89,,,1610612737,Award,Kia Motors,KIANT,
1122,Dominique,Wilkins,Atlanta Hawks,All-NBA,2,1990-91,,,1610612737,Award,Kia Motors,KIANT,
1122,Dominique,Wilkins,Atlanta Hawks,All-NBA,2,1992-93,,,1610612737,Award,Kia Motors,KIANT,
1122,Dominique,Wilkins,Atlanta Hawks-Los Angeles Clippers,All-NBA,3,1993-94,,,1610612746,Award,Kia Motors,KIANT,
1122,Dominique,Wilkins,Atlanta Hawks,All-Rookie Team,1,1982-83,,,1610612737,Award,Kia Motors,KIART,
1122,Dominique,Wilkins,,NBA All-Star,,1985-86,,,,Award,All-Star,,
1122,Dominique,Wilkins,,NBA All-Star,,1986-87,,,,Award,All-Star,,
1122,Dominique,Wilkins,,NBA All-Star,,1987-88,,,,Award,All-Star,,
1122,Dominique,Wilkins,,NBA All-Star,,1988-89,,,,Award,All-Star,,
1122,Dominique,Wilkins,,NBA All-Star,,1989-90,,,,Award,All-Star,,
1122,Dominique,Wilkins,,NBA All-Star,,1990-91,,,,Award,All-Star,,
1122,Dominique,Wilkins,,NBA All-Star,,1991-92,,,,Award,All-Star,,
1122,Dominique,Wilkins,,NBA All-Star,,1992-93,,,,Award,All-Star,,
1122,Dominique,Wilkins,,NBA All-Star,,1993-94,,,,Award,All-Star,,
1122,Dominique,Wilkins,Atlanta Hawks,NBA Player of the Month,,1985-86,01/01/1986,,,Award,Kia Motors,KIPMO,
1122,Dominique,Wilkins,Atlanta Hawks,NBA Player of the Month,,1990-91,02/01/1991,,,Award,Kia Motors,KIPMO,
1122,Dominique,Wilkins,Atlanta Hawks,NBA Player of the Month,,1992-93,02/01/1993,,,Award,Kia Motors,KIPMO,
1122,Dominique,Wilkins,Atlanta Hawks,NBA Player of the Week,,1983-84,,1984-04-15T00:00:00,,Award,Kia Motors,KIPWK,
1122,Dominique,Wilkins,Atlanta Hawks,NBA Player of the Week,,1984-85,,1985-02-03T00:00:00,,Award,Kia Motors,KIPWK,
1122,Dominique,Wilkins,Atlanta Hawks,NBA Player of the Week,,1985-86,,1985-12-29T00:00:00,,Award,Kia Motors,KIPWK,
1122,Dominique,Wilkins,Atlanta Hawks,NBA Player of the Week,,1985-86,,1986-04-13T00:00:00,,Award,Kia Motors,KIPWK,
1122,Dominique,Wilkins,Atlanta Hawks,NBA Player of the Week,,1986-87,,1986-12-14T00:00:00,,Award,Kia Motors,KIPWK,
